"product_category_name","ranking","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio"
brinquedos,10,ac3508719a1d8f5b7614b798f70af136,canoas,RS,83,124.42,30.66
cama_mesa_banho,1,"4a3ca9315b744ce9f8e9374361493884",ibitinga,SP,1459,105.1,17.96
cama_mesa_banho,2,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1074,119.27,17.2
cama_mesa_banho,3,d2374cbcbb3ca4ab1086534108cc3ab7,ibitinga,SP,497,33.95,15.04
cama_mesa_banho,4,"1835b56ce799e6a4dc4eddc053f04066",ibitinga,SP,418,59.78,15.69
cama_mesa_banho,5,"1900267e848ceeba8fa32d80c1a5f5a8",ibitinga,SP,405,46.49,15.42
cama_mesa_banho,6,"8160255418d5aaa7dbdc9f4c64ebda44",ibitinga,SP,380,108.9,18.1
cama_mesa_banho,7,"37be5a7c751166fbc5f8ccba4119e043",sao paulo,SP,268,196.94,21.7
cama_mesa_banho,8,"391fc6631aebcf3004804e51b40bcf1e",ibitinga,SP,256,51.36,15.2
cama_mesa_banho,9,cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,227,106.36,20.25
cama_mesa_banho,10,dc4a0fc896dc34b0d5bfec8438291c80,ibitinga,SP,214,100.32,18.77
casa_conforto,1,"4a3ca9315b744ce9f8e9374361493884",ibitinga,SP,226,101.04,17.6
casa_conforto,2,"2528513dd95219a6013d4d05176e391a",osasco,SP,93,278.68,24.79
casa_construcao,1,"213b25e6f54661939f11710a6fddb871",salto,SP,139,79.09,17.51
casa_construcao,2,"1025f0e2d44d7041d6cf58b6550e0bfa",sao paulo,SP,59,167.66,32.74
casa_construcao,3,"8a130737016f838139d31878787a39c9",sao paulo,SP,50,70.29,13.89
climatizacao,1,"7a241947449cc45dbfda4f9d0798d9d0",jacutinga,MG,33,121.67,22.94
consoles_games,1,"37515688008a7a40ac93e3b2e4ab203f",dracena,SP,227,24.27,14.28
consoles_games,2,"7299e27ed73d2ad986de7f7c77d919fa",araguari,MG,154,81.7,19.03
consoles_games,3,"522620dcb18a6b31cd7bdf73665113a9",cascavel,PR,92,382.42,25.56
consoles_games,4,e8b3a3a38279a82f0e5d006d5e5b7d2c,jussara,PR,51,104.94,18.65
consoles_games,5,"43f8c9950d11ecd03a0304a49e010da6",carapicuiba,SP,41,103.65,13.6
consoles_games,6,ce27a3cc3c8cc1ea79d11e561e9bebb6,sao paulo,SP,36,81.69,14.04
consoles_games,7,"66e0557ecc2b4dbea057e93f215f68d8",sao paulo,SP,31,402.58,16.06
consoles_games,8,"17e34d8224d27a541263c4c64b11a56b",riberao preto,SP,28,212.64,19.84
consoles_games,9,"080102cd0a76b09e0dcf55fcacc60e05",belo horizonte,MG,26,12.78,14.88
consoles_games,10,"16090f2ca825584b5a147ab24aa30c86",atibaia,SP,25,323.04,14.03
construcao_ferramentas_construcao,1,"8648b1e89e9b349e32d3741b30ec737e",jacarei,SP,75,70.09,14.66
construcao_ferramentas_construcao,2,"6860153b69cc696d5dcfe1cdaaafcf62",capivari,SP,72,44.49,17.82
construcao_ferramentas_construcao,3,"0b35c634521043bf4b47e21547b99ab5",teixeira soares,PR,51,173.51,18.91
construcao_ferramentas_construcao,4,"59b22a78efb79a4797979612b885db36",uberlandia,MG,39,289.05,41.57
construcao_ferramentas_construcao,5,e0a366315b1b726b6c7832d664c0f530,sao paulo,SP,36,140.46,14.66
construcao_ferramentas_construcao,6,"960945e1a9535cbc0cd6ddd35fbe7ae8",sao paulo,SP,25,125.09,17.3
construcao_ferramentas_construcao,7,"72c5da29406b4234927b81855e7b64f6",guarulhos,SP,24,425.82,26.11
construcao_ferramentas_construcao,8,"001cca7ae9ae17fb1caed9dfb1094831",cariacica,ES,23,108.36,47.0
construcao_ferramentas_ferramentas,1,c8467937e403e76a8ee9f0ab13f6f5ef,pocos de caldas,MG,30,56.18,17.85
construcao_ferramentas_iluminacao,1,d6b1ce66b035a475f00c017792ff9769,salto,SP,67,121.24,18.32
construcao_ferramentas_iluminacao,2,"1025f0e2d44d7041d6cf58b6550e0bfa",sao paulo,SP,66,238.37,46.12
construcao_ferramentas_iluminacao,3,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,41,40.86,11.94
construcao_ferramentas_jardim,1,"8bb48dc19fccaa8613b6229bf7f452a2",assis,SP,54,46.81,21.63
construcao_ferramentas_jardim,2,f80edd2c5aaa505cc4b0a3b219abf4b8,sao paulo,SP,41,94.58,26.55
construcao_ferramentas_seguranca,1,"4a3ccda38b2129705f3fb522db62ca31",marilia,SP,50,249.19,18.86
construcao_ferramentas_seguranca,2,"06e5eefc71ec47ae763c5c6f8db7064f",porto alegre,RS,27,328.05,26.49
cool_stuff,1,"7a67c85e85bb2ce8582c35f2203ad736",sao paulo,SP,1064,126.67,17.89
cool_stuff,2,ceaec5548eefc6e23e6607c5435102e7,sao paulo,SP,176,237.89,29.64
cool_stuff,3,"7ddcbb64b5bc1ef36ca8c151f6ec77df",sao paulo,SP,172,162.07,22.12
cool_stuff,4,"12b9676b00f60f3b700e83af21824c0e",montenegro,RS,132,199.37,26.62
cool_stuff,5,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,115,34.89,16.59
cool_stuff,6,"48436dade18ac8b2bce089ec2a041202",volta redonda,SP,114,69.6,18.89
cool_stuff,7,"834f3294fba9f932f56edc879193f925",araraquara,SP,65,602.44,64.76
cool_stuff,8,cb8bcce248bb1fb274ba762d8b971456,santa rita do sapucai,MG,63,139.03,17.12
cool_stuff,9,"850f4f8af5ea87287ac68de36e29107f",sao paulo,SP,56,414.17,18.47
cool_stuff,10,aac29b1b99776be73c3049939652091d,uberlandia,MG,54,64.51,22.18
dvds_blu_ray,1,"75fbb52eda0cbc24f479d3b2fbfa8d3e",goiania,GO,40,26.3,21.94
eletrodomesticos,1,d91fb3b7d041e83b64a00a3edfb37e4f,praia grande,SP,500,71.34,16.89
eletrodomesticos,2,"4559697a8f7e637227c2eeaed843baff",presidente prudente,SP,36,69.9,18.71
eletrodomesticos,3,f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,34,32.82,14.98
eletrodomesticos,4,"9674754b5a0cb32b638cec001178f799",sao paulo,SP,24,59.1,13.51
eletrodomesticos_2,1,e882b2a25a10b9c057cc49695f222c19,teresopolis,RJ,34,1127.68,52.44
eletrodomesticos_2,2,"4917cee8d902e13428c3ec4b1ca6f315",blumenau,SC,29,166.96,37.12
eletrodomesticos_2,3,"13d058e4eeac2ce8217660b2f8a05812",osasco,SP,23,166.51,40.27
eletronicos,1,"8b321bb669392f5163d04c59e235e066",sao paulo,SP,850,15.58,13.88
eletronicos,2,"128639473a139ac0f3e5f5ade55873a5",maringa,PR,516,20.56,17.5
eletronicos,3,"5656537e588803a555b8eb41f07a944b",brasilia,DF,84,21.67,16.65
eletronicos,4,"2e90cb1677d35cfe24eef47d441b7c87",sao paulo,SP,81,96.76,16.86
eletronicos,5,dbd66278cbfe1aa1000f90a217ca4695,sao paulo,SP,67,50.67,15.23
eletronicos,6,"4e922959ae960d389249c378d1c939f5",jacarei,SP,52,63.22,15.3
eletronicos,7,"582d4f8675b945722eda7c0cb61ba4c7",bertioga,SP,51,55.44,13.58
eletronicos,8,e9d99831abad74458942f21e16f33f92,sao paulo,SP,50,37.0,12.34
eletronicos,9,c003204e1ab016dfa150abc119207b24,cajamar,SP,44,128.09,31.28
eletronicos,10,"6039e27294dc75811c0d8a39069f52c0",osasco,SP,36,216.11,31.97
eletroportateis,1,"4e7c18b98d84e05cbae3ff0ff03846c2",jaboticabal,SP,70,104.46,31.32
eletroportateis,2,"9674754b5a0cb32b638cec001178f799",sao paulo,SP,57,45.77,11.99
eletroportateis,3,cc3d14116804f7209f3884f6367f1152,curitiba,PR,25,199.19,20.35
esporte_lazer,1,"218d46b86c1881d022bce9c68a7d4b15",ribeirao preto,SP,374,131.84,17.95
esporte_lazer,2,"4d6d651bd7684af3fffabd5f08d12e5a",jau,SP,362,108.77,20.09
esporte_lazer,3,c3cfdc648177fdbbbb35635a37472c53,curitiba,PR,276,138.98,19.78
esporte_lazer,4,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,276,67.85,13.59
esporte_lazer,5,"4c2b230173bb36f9b240f2b8ac11786e",sao paulo,SP,260,42.21,12.7
esporte_lazer,6,c3867b4666c7d76867627c2f7fb22e21,guara,SP,245,143.45,19.47
esporte_lazer,7,"54a1852d1b8f10312c55e906355666ee",santa barbara d'oeste,SP,173,84.43,16.49
esporte_lazer,8,"8f2ce03f928b567e3d56181ae20ae952",pirituba,SP,153,124.07,21.93
esporte_lazer,9,"7008613ea464bad5cb9b83456e1e6a8f",canoinhas,SC,127,49.85,19.76
esporte_lazer,10,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,121,116.66,20.13
fashion_bolsas_e_acessorios,1,"6560211a19b47992c3666cc44a7e94c0",sao paulo,SP,325,53.17,13.11
fashion_bolsas_e_acessorios,2,"0ea22c1cfbdc755f86b9b54b39c16043",sete lagoas,MG,217,40.32,15.8
fashion_bolsas_e_acessorios,3,cab85505710c7cb9b720bceb52b01cee,sao paulo,SP,206,54.49,13.9
fashion_bolsas_e_acessorios,4,e5a3438891c0bfdb9394643f95273d8e,limeira,SP,148,30.87,13.17
fashion_bolsas_e_acessorios,5,"643214e62b870443ccbe55ab29a4dccf",sao paulo,SP,65,49.25,13.86
fashion_bolsas_e_acessorios,6,b372ee768ed69e46ca8cdbd267aa7a38,sao jose do rio preto,SP,63,183.04,17.16
fashion_bolsas_e_acessorios,7,d98eec89afa3380e14463da2aabaea72,porto alegre,RS,61,29.83,18.94
fashion_bolsas_e_acessorios,8,efcd8d2104f1a05d028af7bad20d974b,aracatuba,SP,47,47.54,16.77
fashion_bolsas_e_acessorios,9,"891071be6ba827b591264c90c2ae8a63",sao paulo,SP,45,59.84,13.07
fashion_bolsas_e_acessorios,10,d57e18d5f73c7ccb7f7339b61166898d,sao paulo,SP,42,55.17,13.95
fashion_calcados,1,"7142540dd4c91e2237acb7e911c4eba2",penapolis,SP,92,90.06,18.9
fashion_calcados,2,"827f8f69dfa529c561901c4f2e0f332f",curitiba,PR,66,32.32,15.51
fashion_calcados,3,"048c2757535328e0d7dac690ad3c0aae",franca,SP,51,181.66,25.22
fashion_roupa_masculina,1,aaed1309374718fdd995ee4c58c9dfcd,timbo,SC,31,110.01,20.6
fashion_roupa_masculina,2,dc8798cbf453b7e0f98745e396cc5616,sao paulo,SP,23,36.72,11.8
fashion_underwear_e_moda_praia,1,a6fe7de3d16f6149ffe280349a8535a0,franca,SP,51,55.86,14.28
fashion_underwear_e_moda_praia,2,"4bf2f4ee540798a61f9636d12cd9cc80",assis,SP,26,156.85,16.3
ferramentas_jardim,1,"1f50f920176fa81dab994f9023523100",sao jose do rio preto,SP,1378,54.8,17.89
ferramentas_jardim,2,a1043bafd471dff536d0c462352beb48,ilicinea,MG,399,128.16,42.44
ferramentas_jardim,3,"001cca7ae9ae17fb1caed9dfb1094831",cariacica,ES,177,104.5,35.78
ferramentas_jardim,4,"1127b7f2594683f2510f1c2c834a486b",campinas,SP,107,53.22,13.99
ferramentas_jardim,5,"81a1104df0f08b59c68aa5b03cfe398e",sao jose dos pinhais,PR,73,129.05,24.85
ferramentas_jardim,6,e26901d5ab434ce92fd9b5c256820a4e,maua,SP,70,35.79,13.52
ferramentas_jardim,7,eeb6de78f79159600292e314a77cbd18,lages,SC,67,526.03,33.81
ferramentas_jardim,8,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,64,158.8,16.13
ferramentas_jardim,9,d50d79cb34e38265a8649c383dcffd48,sao paulo,SP,46,190.88,25.93
ferramentas_jardim,10,ff063b022a9a0aab91bad2c9088760b7,santo andre,SP,44,122.69,21.13
industria_comercio_e_negocios,1,"0dd184061fb0eaa7ca37932c68ab91c5",guarulhos,SP,92,88.06,30.32
industria_comercio_e_negocios,2,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,31,113.94,15.65
industria_comercio_e_negocios,3,"7681ef142fd2c19048da7430856b5588",guarulhos,SP,23,91.38,30.03
informatica_acessorios,1,"85d9eb9ddc5d00ca9336a2219c97bb13",belo horizonte,MG,473,29.57,16.64
informatica_acessorios,2,"9f505651f4a6abe901a56cdc21508025",sao paulo,SP,342,65.48,14.36
informatica_acessorios,3,de722cd6dad950a92b7d4f82673f8833,recife,PE,324,144.19,25.5
informatica_acessorios,4,a1043bafd471dff536d0c462352beb48,ilicinea,MG,323,137.65,40.12
informatica_acessorios,5,"897060da8b9a21f655304d50fd935913",ribeirao preto,SP,305,52.4,15.26
informatica_acessorios,6,"88460e8ebdecbfecb5f9601833981930",maringa,PR,248,104.46,16.54
