"product_category_name","seller_id","seller_city","seller_state","total_ordenes","precio_promedio","costo_envio_promedio","costo_total_promedio"
bebes,"7ea5bfa6c340f58f8e71fc1f0412b0d6",belo horizonte,MG,94,112.48,16.2,128.68
bebes,"1d8dbc4f32378d715c717c1c1fc57bae",arapongas,PR,92,115.47,21.48,136.95
bebes,"1f9ab4708f3056ede07124aad39a2554",tupa,SP,78,172.19,30.9,203.08
bebes,d673a59aac7a70d8b01e6902bf090a11,ibitinga,SP,77,45.9,19.05,64.95
bebes,d98eec89afa3380e14463da2aabaea72,porto alegre,RS,59,34.99,16.61,51.6
bebes,"05f51e13da97139648b8125c31e5f51b",belo horizonte,MG,57,218.64,32.33,250.97
bebes,adbc26658d6c7b4b6219f9d934598091,curitiba,PR,56,122.55,20.86,143.41
bebes,c6bda72e4dbf5c5866b13cb1810c6d03,sao paulo,SP,48,193.45,17.14,210.59
bebes,e26901d5ab434ce92fd9b5c256820a4e,maua,SP,47,79.07,11.8,90.87
bebes,ad781527c93d00d89a11eecd9dcad7c1,sao jose do rio preto,SP,44,156.81,54.08,210.89
bebes,bbad7e518d7af88a0897397ffdca1979,sao paulo,SP,44,34.25,14.45,48.7
bebes,"9e6229250fedbe05838fef417b74e7fb",mirandopolis,SP,40,155.61,24.47,180.08
bebes,fa40cc5b934574b62717c68f3d678b6d,sao paulo,SP,39,52.47,11.38,63.85
bebes,"46dc3b2cc0980fb8ec44634e21d2718e",rio de janeiro,RJ,37,346.74,32.88,379.63
bebes,f45122a9ab94eb4f3f8953578bc0c560,piracicaba,SP,37,59.99,15.59,75.58
bebes,bf3c6d2a28b2b5501e6c15448982dcc9,sao paulo,SP,34,97.57,16.74,114.31
bebes,e8b4225284fbb02d16f200513f1f395d,novo horizonte,SP,31,186.73,41.86,228.58
bebes,f680f85bee2d253556ac91be391d2c82,carapicuiba,SP,31,39.56,13.12,52.68
bebes,"9d5a9018aee56acb367ba9c3f05d1d6a",aparecida de goiania,GO,30,137.16,20.11,157.27
bebes,"271c58a1d139c45eaf3316107c6d3a3b",sao paulo,SP,29,134.4,23.14,157.54
bebes,"99002261c568a84cce14d43fcffb43ea",cuiaba,MT,29,116.14,30.73,146.87
bebes,a420f60ff1aa9acc80d0e42959f2b313,sao paulo,SP,29,75.92,17.93,93.85
bebes,"5a93f3ab0ef4c84ed5e1b5dbf23978bc",monteiro lobato,SP,28,74.66,18.07,92.73
bebes,"1f50f920176fa81dab994f9023523100",sao jose do rio preto,SP,27,84.14,31.87,116.01
bebes,"977f9f63dd360c2a32ece2f93ad6d306",tabatinga,SP,24,114.35,37.4,151.75
bebes,"9d4db00d65d7760644ac0c14edb5fd86",sorocaba,SP,23,106.21,11.86,118.07
bebes,a3a38f4affed601eb87a97788c949667,joinville,SC,23,84.49,21.54,106.03
bebes,"503c1de08ae81a2d86f17951b204db55",sao paulo,SP,22,223.04,18.86,241.9
bebes,"5a8e7d5003a1f221f9e1d6e411de7c23",campinas,SP,22,55.99,11.84,67.83
bebes,"827f8f69dfa529c561901c4f2e0f332f",curitiba,PR,21,31.38,14.25,45.62
bebes,d9bd94811c3338dceb4181f3dbc0c73e,sao paulo,SP,21,80.39,12.13,92.52
bebidas,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,170,42.76,13.19,55.95
bebidas,"9b013e03b2ab786505a1d3b5c0756754",vicente de carvalho,SP,50,39.75,11.46,51.22
beleza_saude,cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1056,58.59,14.94,73.53
beleza_saude,"06a2c3af7b3aee5d69171b0e14f0ee87",sao luis,MA,392,89.9,29.98,119.88
beleza_saude,"620c87c171fb2a6dd6e8bb4dec959fc6",petropolis,RJ,372,101.51,18.36,119.87
beleza_saude,c70c1b0d8ca86052f45a432a38b73958,hortolandia,SP,261,108.1,11.65,119.75
beleza_saude,da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,242,28.96,10.85,39.81
beleza_saude,f7ba60f8c3f99e7ee4042fdef03b70c4,sao bernardo do campo,SP,192,327.45,19.06,346.51
beleza_saude,ccc4bbb5f32a6ab2b7066a4130f114e3,curitiba,PR,182,387.55,27.52,415.07
beleza_saude,edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,166,453.05,22.31,475.37
beleza_saude,a416b6a846a11724393025641d4edd5e,sao paulo,SP,158,134.0,16.57,150.57
beleza_saude,e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,153,56.53,13.44,69.96
beleza_saude,"7e1fb0a3ebfb01ffb3a7dae98bf3238d",franca,SP,138,162.04,17.41,179.45
beleza_saude,"01fdefa7697d26ad920e9e0346d4bd1b",londrina,PR,129,113.9,21.13,135.04
beleza_saude,"431af27f296bc6519d890aa5a05fdb11",ribeirao preto,SP,117,104.88,17.13,122.01
beleza_saude,"955fee9216a65b617aa5c0531780ce60",sao paulo,SP,113,100.67,22.26,122.93
beleza_saude,f4aba7c0bca51484c30ab7bdc34bcdd1,sao paulo,SP,105,24.24,13.3,37.54
beleza_saude,"2e1c9f22be269ef4643f826c9e650a52",sao paulo,SP,100,70.73,13.82,84.54
beleza_saude,"59fb871bf6f4522a87ba567b42dafecf",sao paulo,SP,95,175.01,16.05,191.06
beleza_saude,"5c243662ce92d84573bfaff24c3e3700",sao paulo,SP,95,327.62,17.92,345.54
beleza_saude,"04308b1ee57b6625f47df1d56f00eedf",bombinhas,SC,94,639.69,32.49,672.18
beleza_saude,"900ba814c251a692506d7834c1218441",salto,SP,88,330.68,26.91,357.59
beleza_saude,ebd2d60905fb58271facef5596b620d3,lencois paulista,SP,84,90.25,19.7,109.94
beleza_saude,f46490624488d3ff7ce78613913a7711,guarulhos,SP,83,63.77,19.21,82.97
beleza_saude,f3b80352b986ab4d1057a4b724be19d0,brasilia,DF,82,82.59,20.44,103.03
beleza_saude,f84fa566034f5e8e880a07ec624c56af,indaiatuba,SP,82,49.49,12.0,61.49
beleza_saude,"0df3984f9dfb3d49ac6366acbd3bbb85",betim,MG,81,116.39,16.97,133.36
beleza_saude,f84a00e60c73a49e7e851c9bdca3a5bb,rio de janeiro,RJ,80,57.51,17.34,74.85
beleza_saude,"42b729f859728f5079499127a9c2ef37",sao paulo,SP,77,28.76,9.95,38.71
beleza_saude,cbd996ad3c1b7dc71fd0e5f5df9087e2,sao jose do rio preto,SP,72,34.59,13.97,48.56
beleza_saude,"516e7738bd8f735ac19a010ee5450d8d",rio de janeiro,RJ,68,85.48,17.54,103.03
beleza_saude,ececbfcff9804a2d6b40f589df8eef2b,franca,SP,65,66.43,18.03,84.45
beleza_saude,"8b28d096634035667e8263d57ba3368c",sao jose dos campos,SP,63,51.2,16.4,67.6
beleza_saude,"94144541854e298c2d976cb893b81343",viamao,RS,63,240.93,18.93,259.85
beleza_saude,"1eade46fba20122dc4aefb379f8c636b",sao paulo,SP,58,48.47,13.84,62.32
beleza_saude,"17f51e7198701186712e53a39c564617",sao paulo,SP,56,787.2,160.55,947.74
beleza_saude,"57e632711dec9ec14ca7546769483e7e",navegantes,SC,55,101.1,18.24,119.34
beleza_saude,beadbee30901a7f61d031b6b686095ad,guarulhos,SP,55,55.16,13.91,69.06
beleza_saude,"7178f9f4dd81dcef02f62acdf8151e01",videira,SC,54,55.49,21.13,76.62
beleza_saude,"9b013e03b2ab786505a1d3b5c0756754",vicente de carvalho,SP,54,44.75,12.38,57.13
beleza_saude,b17b679f4f5ce2e03ce6968c62648246,ribeirao preto,SP,54,68.53,18.84,87.37
beleza_saude,"2a5b78b41cd05baeac8df54c6606b92c",formiga,MG,49,317.09,18.46,335.55
beleza_saude,"44073f8b7e41514de3b7815dd0237f4f",brasilia,DF,49,151.22,20.5,171.73
beleza_saude,db2956745b3a8e9f3785c99f34b5d25e,sao sebastiao,SP,47,179.15,20.32,199.46
beleza_saude,"11bfa66332777660bd0640ee84d47006",ribeirao preto,SP,45,51.57,18.37,69.95
