"product_category_name","ranking","seller_id","seller_state","ordenes_vendedor","precio_promedio_vendedor","porcentaje_demanda"
cama_mesa_banho,1,"4a3ca9315b744ce9f8e9374361493884",SP,1459,105.1,15.49
cama_mesa_banho,2,da8622b14eb17ae2831f4ac5b9dab84a,SP,1074,119.27,11.4
cama_mesa_banho,3,d2374cbcbb3ca4ab1086534108cc3ab7,SP,497,33.95,5.28
cama_mesa_banho,4,"1835b56ce799e6a4dc4eddc053f04066",SP,418,59.78,4.44
cama_mesa_banho,5,"1900267e848ceeba8fa32d80c1a5f5a8",SP,405,46.49,4.3
casa_conforto,1,"4a3ca9315b744ce9f8e9374361493884",SP,226,101.04,56.93
casa_conforto,2,"2528513dd95219a6013d4d05176e391a",SP,93,278.68,23.43
casa_conforto,3,"520b493b57809f446cb0a233bb3e25c7",SP,16,32.68,4.03
casa_conforto,4,"11305281b50fff20ae8bb473f8e11876",MG,15,154.37,3.78
casa_conforto,5,"5dceca129747e92ff8ef7a997dc4f8ca",SP,9,59.18,2.27
casa_conforto_2,1,"4a3ca9315b744ce9f8e9374361493884",SP,20,12.9,83.33
casa_conforto_2,2,"3b15288545f8928d3e65a8f949a28291",SP,2,164.99,8.33
casa_conforto_2,3,"05aebce0b5c8f0d41b29b686f2d05fd3",SP,1,34.99,4.17
casa_conforto_2,4,"45d33f715e24d15a6ccf5c17b3a23e3c",SP,1,59.9,4.17
casa_construcao,1,"213b25e6f54661939f11710a6fddb871",SP,139,79.09,28.37
casa_construcao,2,"1025f0e2d44d7041d6cf58b6550e0bfa",SP,59,167.66,12.04
casa_construcao,3,"8a130737016f838139d31878787a39c9",SP,50,70.29,10.2
casa_construcao,4,"48162d548f5b1b11b9d29d1e01f75a61",SP,19,217.74,3.88
casa_construcao,5,"95e03ca3d4146e4011985981aeb959b9",RJ,16,93.27,3.27
cds_dvds_musicais,1,"4e922959ae960d389249c378d1c939f5",SP,12,52.14,100.0
cine_foto,1,da7039f29f90ce5b4846ffc0fcc93beb,SP,17,69.95,26.15
cine_foto,2,"8d956fec2e4337affcb520f56fd8cbfd",SP,11,92.13,16.92
cine_foto,3,"6b90f847357d8981edd79a1eb1bf0acb",SP,9,14.1,13.85
cine_foto,4,"5abb8ea023c77787f2c15da891c8d384",SC,7,64.71,10.77
cine_foto,5,"77e4abfd739aed9c46480f90f81c0eb4",DF,5,119.6,7.69
climatizacao,1,"7a241947449cc45dbfda4f9d0798d9d0",MG,33,121.67,13.04
climatizacao,2,"6a51fc556dab5f766ced6fbc860bc613",SP,20,223.94,7.91
climatizacao,3,"01cf7e3d21494c41fb86034f2e714fa1",PR,18,72.05,7.11
climatizacao,4,fcdd820084f17e9982427971e4e9d47f,SP,15,178.46,5.93
climatizacao,5,d91fb3b7d041e83b64a00a3edfb37e4f,SP,13,76.75,5.14
consoles_games,1,"37515688008a7a40ac93e3b2e4ab203f",SP,227,24.27,21.37
consoles_games,2,"7299e27ed73d2ad986de7f7c77d919fa",MG,154,81.7,14.5
consoles_games,3,"522620dcb18a6b31cd7bdf73665113a9",PR,92,382.42,8.66
consoles_games,4,e8b3a3a38279a82f0e5d006d5e5b7d2c,PR,51,104.94,4.8
consoles_games,5,"43f8c9950d11ecd03a0304a49e010da6",SP,41,103.65,3.86
construcao_ferramentas_construcao,1,"8648b1e89e9b349e32d3741b30ec737e",SP,75,70.09,10.03
construcao_ferramentas_construcao,2,"6860153b69cc696d5dcfe1cdaaafcf62",SP,72,44.49,9.63
construcao_ferramentas_construcao,3,"0b35c634521043bf4b47e21547b99ab5",PR,51,173.51,6.82
construcao_ferramentas_construcao,4,"59b22a78efb79a4797979612b885db36",MG,39,289.05,5.21
construcao_ferramentas_construcao,5,e0a366315b1b726b6c7832d664c0f530,SP,36,140.46,4.81
construcao_ferramentas_ferramentas,1,c8467937e403e76a8ee9f0ab13f6f5ef,MG,30,56.18,30.93
construcao_ferramentas_ferramentas,2,"8daab2245ebdc277c51098d01c5ad8ef",SP,11,92.99,11.34
construcao_ferramentas_ferramentas,3,"955fee9216a65b617aa5c0531780ce60",SP,9,210.0,9.28
construcao_ferramentas_ferramentas,4,"750303a20e9c56b2a6bc45cdce0b897d",GO,7,51.41,7.22
construcao_ferramentas_ferramentas,5,eeb6de78f79159600292e314a77cbd18,SC,7,549.0,7.22
construcao_ferramentas_iluminacao,1,d6b1ce66b035a475f00c017792ff9769,SP,67,121.24,27.46
construcao_ferramentas_iluminacao,2,"1025f0e2d44d7041d6cf58b6550e0bfa",SP,66,238.37,27.05
construcao_ferramentas_iluminacao,3,"955fee9216a65b617aa5c0531780ce60",SP,41,40.86,16.8
construcao_ferramentas_iluminacao,4,"213b25e6f54661939f11710a6fddb871",SP,7,78.78,2.87
construcao_ferramentas_iluminacao,5,"3fac58ce0ad699020c7944d53c41329c",SP,6,92.72,2.46
construcao_ferramentas_jardim,1,"8bb48dc19fccaa8613b6229bf7f452a2",SP,54,46.81,27.84
construcao_ferramentas_jardim,2,f80edd2c5aaa505cc4b0a3b219abf4b8,SP,41,94.58,21.13
construcao_ferramentas_jardim,3,d51e0a403fe2e689ece6c73359d96e12,SP,19,299.62,9.79
construcao_ferramentas_jardim,4,"49067458c68f7701fd334ce326accbe0",MG,16,28.23,8.25
construcao_ferramentas_jardim,5,"1127b7f2594683f2510f1c2c834a486b",SP,6,21.29,3.09
construcao_ferramentas_seguranca,1,"4a3ccda38b2129705f3fb522db62ca31",SP,50,249.19,29.94
construcao_ferramentas_seguranca,2,"06e5eefc71ec47ae763c5c6f8db7064f",RS,27,328.05,16.17
construcao_ferramentas_seguranca,3,cfe94489ddd337d1e29e12f2a7205d10,SP,20,99.0,11.98
construcao_ferramentas_seguranca,4,"18a349e75d307f4b4cc646a691ed4216",SP,11,48.63,6.59
construcao_ferramentas_seguranca,5,d71d863e5ef30d94e440c11be17dcd8f,SP,6,29.0,3.59
cool_stuff,1,"7a67c85e85bb2ce8582c35f2203ad736",SP,1064,126.67,29.3
cool_stuff,2,ceaec5548eefc6e23e6607c5435102e7,SP,176,237.89,4.85
